Complaint ,Company_Type,Label,
"@TGA_CARE
  اتمنى حل مشكلتي مع سبل رفعت لشكوى لشحنة لها اكثر من شهر واصله عبارة عن كريم طبي الشكوى لها تسعة ايام ولا صار عليها شي غير المماطلة فقط",شركة شحن,تأخير,
"لم يلتزم سائق أوبر بالمسار المحدد، مما تسبب في تأخري لموعدي الطبيب وفقدان فرصة مهمة للعمل.",شركة توصيل,تأخير,
"@SaudiTransport
  
 تعرضت لحادث مروري على طريق الرياض الدمام وتم الانتهاء من جميع الاجراءات المروريه والتقديريه ولم يتم تعويضي لاكثر من 3 اشهر من تاريخ وقوع الحادث وتم تحويلي الى المقاول وبعد مراجعة مدير وزاة النقل في الشرقيه يفيد ان ليس له سلطة على المقاول
  
 @SalehAlJasser",منصات حكومية لوجستية,تأخير,
لدي شحنة متأخر ولا يوجد تجاوب من ارامكس,شركة شحن,تأخير,
"سؤالي لوزارة النقل 
 سيارتي انعدمت بسبب عدم وجود لوحات إرشادية تكلفت ب ????? الف ريال
 هل يتم تعويضي",منصات حكومية لوجستية,مخالفة انظمة,
"سوء خدمه هنا
 فوق الوصف
 بعد 10 ايام انتظار
 امس يرسل المندوب وأرسله الموقع ويطنش لايرد ولا يجي
 اليوم يرسل المندوب وأرسله الموقع واتصل عليه فيقول الشركة غلطانة شحنتك مو معي وبعد المغرب اتصل عليه يقول انا في البيت خلصت دوام ولا اقدر اوصل شحنتك ألبوم بكرة يرسلونها لك",شركة شحن,تأخير,
تم فقدان طردي في الطريق من قبل شركة الشحن أرامكس ولم يتم تقديم أي تعويض أو توضيح من الشركة حتى الآن.,شركة شحن,فقدان,
"عماله يمنيه وبرماويه ينتحلون الزي الوطني السعودي ويعملون ب محلات الذهب وهي مهن مقصورة على السعوديين والسعوديات وهذا يعتبر مخالف لأنظمة العمل الوطني السعودي
 
 @MCgovSA
 
 
 @HRSD_SA
 
 
 @nazaha_gov_sa",غير محدد,مخالفة انظمة,
السلام عليكم ارجو ايجاد حل لي رحتين التغت كل رحله بقيمة ??? ولم يعود لي اي مال ارجو ايجاد حل اتواصل بتويتر يقولون تواصل مع البرنامج اتواصل مع البرنامج يقولون رجعت وهو مارجع شي,شركة توصيل,مشاكل مالية,
السلامة عليكم كريم واوبر لم يفعلوا الموديلات اللي تم تمديدها حديثا من ٢٠١٤ واعلا يقولك لازم موديل ٢٠١٨,شركة توصيل,استفسار,
"@MoTLS19955
  
 
 @TGA_CARE
  
 
 @SaudiTransport
  
 
 @Aramex_KSA
  
 شركة أرمكس مماطلة واستهتار هذي اللحظة جاني إشعار خرج المندوب بعدها بدقيقة أشعار ثاني تمت محاولة التوصيل ومن يوم السب للان يقولوا المندوب قريب ولاخدمة عملاء وبتويتر يكرروا الكلام لدي بلاغ ف الهيئة نبغا حل",شركة شحن,تأخير,
"@TGA_CARE
  سلام عليكم كيف اشتكي على تطبيق 
 @egoNowCare
  
 
 @Ego_now
  
 فلوسي عندهم ولا راضين يرجعونها",شركة توصيل,مشاكل مالية,
"@JahezCareKSA
  انا طلبت من البيك، واخترت وجبة + طلب جانبي
 تفاجأت ان المندوب ماجاب لي الوجبة وجاب بس الطلب الجانبي اللي سعره مايتجاوز 5 ريال، وانا دافعه توصيل ١٩ ريال ، دام ان المطعم مافيه الوجبة ليش ينقبل الطلب! انتو رجعوا قيمة الوجبة بس ، لكن من يعوضني عن قيمة التوصيل؟ 
 @TGA_CARE",شركة توصيل,مشاكل مالية,
"@Aramex_KSA
  
 @Aramex
  
 @ShopandShip
  يا كذابين لا يوجد اي تحديث بجميع شحناتي التي رفعت فيها طلب و اتواصل معاكم على الهاتف الآن و لا يتم الرد ! الى متو الاستهتار باللعملاء و الى متى هيئة النقل لم تتخذ إجراء صارم مع شركات الشحن 
 @MoTLS19955
  
 @SaudiTransport",شركة شحن,سوء تعامل,
اسوء شركة شحن وادق عليهم يقولو ما عليكي رفعنا طلبك وكل يوم ادق ونفس الحل صارو الحين معد يردو,شركة شحن,سوء تعامل,
اسوى شركة شحن مرت علي بحياتي الطلب الى الان ما وصل كملت شهربدون فايده لاترد علي تقول تم التواصل خاص وفي الخاص ماعندك فايده؟ غلطة عمر لشركه عساف تعاملهم معاكم السي مانتو قد الشغل لا تشحنوخافو الله في رمضان ياسيئين التعامل,شركة شحن,تأخير,
"@JeenyCare
  ممكن احد يرد. في الخاص و ينتظر مو يرسل رساله و يختفي ساعه ؟ او اعطونا رقم نتواصل فيه معكم مو معقول حواله تاخذ اسبوع للحين ما وصلت و اتواصل معكم تقولو المشكله من stc اتواصل مع STC يقولو المشكله عندكم",شركة توصيل,تأخير,
"السلام عليكم ورحمة الله وبركاته
 
 تم مراسلتكم على الخاص شكوى تخص توصيل 
 @MoTLS19955
  ، أمل الإطلاع.
 
 وشكرا.",شركة توصيل,اخرى,
الرجاء توفير لي مندوب استرجاع لي الطلبية رقم البوليصة/ 50044091580,شركة شحن,اخرى,
"@SalehAlJasser
  
 معالي الوزير مع التحية 
 من عشرة ايام ومنصة النقل الالكترونية معطله . ولم نتمكن من اصدار بطاقات تشغيل لمعداتنا . وحيث اننا مرتبطون بعقود مع الخير ولا نستطيع ان نسير مركبات مخالفه تتعرض للعقوبات .
 لذا نامل التكرم ببحث المشكله ورفع الضرر وشكرا",منصات حكومية لوجستية,تأخير,
"@Aramex_KSA
  
 والله لا يعقل يومين الشحنة تطلع مع مندوبكم وهي كتب دراسية مهمة لي ومتعطله لي اسبوع انتظر شحنتي واخر شي يسجل في النظام انه ما قدر يتواصل معي مع ان رقم جوالي مسجل ولا فيه شخص اتصل علي اصلا! 
 هذا وانا دافعه قيمة التوصيل كاملة لباب البيت وش هالمهزلة!!! 
 
 @SaudiTransport",شركة شحن,تأخير,
"@MoTLS19955
  السلام عليكم
 تم التواصل مع ناقل عدة مرات بخصوص شحنتي
 تم حذف من موقعهم بيانات التتبع
 كل ما سألت عنها مافي احد يجاوب
 ولا في مندوب من طرفهم يتواصل معي بخصوص التسليم",شركة شحن,فقدان,
"@mcgovsa_care
  عندي بلاغ باقدمة ع شركة ايميايل ومتجر ويكسانا 
 @Wixsana_sa
  لي اسبوعين يماطلون بتسليم الشحنه ومندوب ايمايل يوقف في محطة ىيقول انتي تعالي استلميها رافض يوصلها لي للبيت؟! وبعدين كل يوم اعادة حدولة حاولت اكلم شركة الشحن والمتجر ونفس ردودهم سيتم التوصيل اخر شي الان",شركة شحن,تأخير,
"خدمة العملاء سيئة الطلبية راحت من مندوب المحاميد الى مندوب بحرة وكلهم ما يوصلون للحرازات هذا على كلام خدمة العملاء و يقولون بتوصل اليوم بتوصل اليوم من يوم الأثنين عموما الارقام المرفقة كلها خطأ ماعدا الأخيرة هي بالفعل لمندوب برقم ساري 
 @SaudiTransport",شركة شحن,سوء تعامل,
"ماهو معقولة الخدمة سيئة جداً
 
 هذا ثاني مندوب يتواصل معي بخصوص العنوان واذا ارسلته له يقول هذا ماهو تابع لي ..
 
 وش الاستهتار هذا فينا
 
 شوفوا لنا حل مع شركة الشحن",شركة شحن,سوء تعامل,
"السلام عليكم 
  لقد تم شحن المحفظة عن طريق الخطأ بمبلغ ٩٩٩﷼ في تطبيق جيني بدون قصد وتم التواصل مع خدمة العملاء وعدم الاستجابة لمشكلتي ووالله العظيم اني ف امسح الحاجة لهاذا المبلغ وانه ليس لي وارجو ارجاع المبلغ في اسرع وقت 
 
 @SaudiTransport
 
 
 @MoTLS19955
 
 
 @JeenyCare",شركة توصيل,مشاكل مالية,
"الآن لو طلبت سيارة من شركة نقل الركاب، الاسم سعودي لكن السائق غير سعودي.. وش اسوي؟",شركة توصيل,مخالفة انظمة,
"@HungerStation
  
 @MCgovSA
  لو سمحتو شغلو مناديب تفهم له ساعه يلف بالطلب مو راضي يجيبه",شركة توصيل,تأخير,
"السلام عليكم ورحمة الله وبركاته 
 عندي طلبيه تاخرت علي جدا ولها? ايام بالمنطقه الي انا فيها ولم تصلني الى الان؟
 رقم التتبع:50080350563
 شوفو لهم حل",شركة شحن,تأخير,
"مبرووووووووووووووك ناني 
 ربحتي 1000 ريال من تطبيق كيان 
 
 تستاهل
 
 اكتب تحت حجت يا كيان مع هاشتاق
 #حجت_يا_كيان15 
 
 وانتظرونا في يوم جديد وسحب جديد",شركة توصيل,اخرى,
"@MoTLS19955
  
 @SPL_CARE
  اليوم فيه شحنة طالعه للتوصيل و ماوصلها المندوب كل اليوم انتظره بالموقع و اتصل عليه ومافيه اي تجاوب و انتهى داومه حاليا !! هذا غير الشحنة الثانيه المتاخره ، خدمتهم سيئة جدا",شركة شحن,تأخير,
المندوب ملخبط شحنتي بشحنه ثانيه و ادق عليه مايرد وادق على رقمكم الموحد وماتردون!!,شركة شحن,فقدان,
 هل تم سعودة توصيل الركاب ,شركة توصيل,استفسار,
"السلام عليكم ، اريد تقديم بلاغ علي ابلكيشن مرسول هل اقدم في بلاغ تجاري او هناك جهه اخري اسجل بلاغي لديهم",شركة توصيل,استفسار,
ياوزارة التجاره تكفون شوفو لي حل بشركة ايمايل ماصارت ياخذون الفلوس ولاعاد يردون,شركة شحن,مشاكل مالية,
"مثال جديد لسوء تجربة العميل لدرجة تؤثر على جودة حياة المواطن والمقيم في بلدنا الغالي
 
 @Aramex_KSA
 
 
 @Saudi_TGA
 
 للعلم رقمهم ٨٠٠ لا يمكن التحدث بكائن بشري وكل الخيارات تنتهي برد واحد بتجيك رسابة نصية لتتبع شحنتك. 
 
 السالقة بسيطة طلب من 
 
 @AmazonKSA
 
 المفروض يوصل خلال ٢٤ ساعة له الان ٤",شركة شحن,تأخير,
لي خمس شحنات حاطينها في كل موقع تعبت منكم برفع شكوى فيكم ي وزارة التجاره شوفوا حل معهم او شي كل شحناتي موزعينها ع مناطق المملكه كل يوم اكلمكم هنا حتى الاتصال يخلون الرد الالي خدمة سيئه,شركة شحن,سوء تعامل,
خطوات إصدار ترخيص غير مقيد الدرجات الآلية لنقل البضائع,مركبات نقل,استفسار,
كيف ارفع شكوى ع شركة شحن ؟,شركة شحن,استفسار,
"السلام عليكم 
 امس رفعت شكور برقم 4249496 بسبب تأخر الشحنه في مستودع مكة الزايدي يومين في المستودع وماخرجت للتسليم.
 
 لماذا لم يتم الرد على الشكوى يا",شركة شحن,تأخير,
"السلام عليكم عندي مشكلة مع شركة سمسا لتوصيل الطلبات 
 تأخروا بتسليم الشحنة المرسلة ولم تصل الى المستلم في الموعد المحدد
 وحينما احاول التواصل معهم ترد الموظفة بعد العديد من محاولات الاتصال بهم وتقوم بتعليق الخط لمدة ?? دقيقة واكثر بدون رد او حل للمشكلة 
 وكل هذا بسبب طلبي عمل شكوى",شركة شحن,تأخير,
"السلام عليكم 
 @MoTLS19955
 
 أقدم لكم شكوى على 
 @Uber_KSA
  حيث قاموا بخصم مبلغ من حسابي البنكي مرتين متكررة على رحلة ملغاة بسبب سائق أوبر، ولا يوجد لديهم هاتف لاستقبال الشكاوي، أما التطبيق الخاص بهم فخيارات رفع شكوى محدودة جداً ولا تشمل مثل مشكلتي ولا يوجد نظام محادثة مباشرة فيه.",شركة توصيل,مشاكل مالية,
نعم لاحظت ذلك ركبت مع واحد باكستاني والصوره متغيره عن الواقع. وكان قليل الكلام.,شركة توصيل,مخالفة انظمة,
"@TGA_CARE
  السلام عليكم 
 عندي شكوى ضد 
 @HungerStation
  وين اقدر اشتكي",شركة توصيل,استفسار,
"السلام عليكم 
 @Saudi_TGA
  
 @TGA_CARE
  خلو السوابق او الفحص الجنائي لي اوبر عن طريق مين تتم ارجو افادتي حسابي واقف بسببها ارجو ارسلها لي اوبر",شركة توصيل,استفسار,
السلام انا طالب عطر من شركه لافيرن لو لحد الان 26يوم والعطر موجود مع شركه شحن ايمايل وكل م اكلمهم ميستجوبو معي كل موضف يعطيني كلام غير يوم يقولو لي الشحنه طالعه مع المندوب ويوم الشحنه باقي في الخط يماطلو فيني رجا خاص شوفو لي حل,شركة شحن,تأخير,
"@MoTLS19955
  هل الشكوى على شركات التوصيل اللوجستيه من اختصاصكم",شركة توصيل,استفسار,
"@MoTLS19955
  السلام عليكم لدي شكوى لبريد يعمل هنا ، اريد ارجاع شحنه ولم اجد اي تعاون معهم اريد الحل ؟
 @WorldShip1",شركة شحن,سوء تعامل,
"@SalehAlJasser
  معالي الوزير عنايتكم نرجو النظر في مخالفين الأنظمة من الاجانب اللذين يعملون في تطبيقات التوصيل اوبر وهيا مهنة تقتصر على السعوديون أبناء هذا البلد العظيم 
 ولدينا كل ما يثبت بوجودهم في الميدان ولك بذلك جولة وتضح لك الحقايق على المتسترين 
 
 @Uber_KSA
  
 
 @MOISaudiArabia",شركة توصيل,مخالفة انظمة,
"السلام عليكم 
 
 تم إرسال إيميل على 938@rga.gov.sa، الموافق بخصوص شكوى على مندوب ??-?-????م ولم يتم الرد إلى هذه اللحظة.",غير محدد,سوء تعامل,
"لازم حل صارم مع ذي الشركه مناديبها يسحبون مايوصلون الطلبيات واذا تبغاه يوصل لك ادفع له حق المشوار او يقولك بحطها لك فاي مكان 
  والله الشركه ذي ماحد ردعها
  ليش التوصيل عليه مشاكل عندنا اغلب الشركات ماتوصل الا بعد ماتطلع روحك ترا بفلوسي مو تكرما منهم عشان يذلونا",شركة شحن,تأخير,
شركة ايمايل لهم اسبوعين يمطالون يشحنتي ابغى اقدم شكوى,شركة شحن,تأخير,
"@TGA_CARE
  شركه سيئه مندوبين خلال يومين متتالين يرفعون صوتهم علي الاول ماعنده شبكه وهذي مخالفه صريحه وينافخ يبي كاش وانا ماعندي والثاني بس دقيقتين تأخرت بالرد كنسل تسليم الطلب وراح متخيلين الوقاحه غير سعوديين المناديب",شركة شحن,سوء تعامل,
شوفوا لنا حل مع شركة الشحن,شركة شحن,اخرى,
"(2) وهي استخدام (الدبابات)الدراجات النارية في التوصيل وبلاشك هذا الأمر يعتبر خطه ناجحه للتخفيف من الازدحامات المرورية وهو نشاهده في كثير من الدول 
 لكن مانشاهده لدينا من سائقي الدرجات امر خطير.
 السؤال 
 هل تم تدريبهم على استخدام الطرق بشكل الصحيح والآمن لهم وللأخرين 
 لأننا نشاهدهم",مركبات نقل,استفسار,
"يوجد مماطله وعدم انضباطيه في اوقات التسليم وخدمة عملاء في الماديب غير جيده
 
 ربط العميل في موقع التسليم وثم الاعتذار هذا غير منطقي 
 
 وتم رفع شكوى لوزارة التجاره حيال ذالك",شركة شحن,تأخير,
"كيف يحضر المندوب للعميل بدون ما يجيب معاه جهاز الدفع "" الشبكة "" ، من اسوأ شركات التوصيل 
 
 
 @SaudiTransport
 
 
 @Aramex_KSA",شركة شحن,مشاكل مالية,
الرياض تحتاج الى عملية قيصرية عاجلة لفك الاختناقات وفتح شوارع جديدة لتسهيل الحركة المرورية وولات امورنا لا يألون جهداً في اسعاد المواطن والمقيم حفظهم الله وسدد خطاهم,منصات حكومية لوجستية,اخرى,
سلام عليكم ودي اشتكي على شركه ناقل لنهم سببو تلف للمنتج ولم يقومون بحل مشكلتي هل هي عن طريقكم الشكوى على شركه ناقل؟,شركة شحن,سوء تعامل,
ليه يتم طلب رقم الهوية كاملة من قبل المندوب ؟! ترى خصوصية مو منطقي نعطيه رقم هويتنا وفيه رقم تسليم !! اقل شيء يطلب اخر اربع ارقام او رقمين حتى او مايتم طلبها نهائي !,شركة شحن,اخرى,
"السلام عليكم ورحمة الله وبركاته
 يوجد لدي مشكله تخص احدى المشاوير وحاولت التواصل مع الرقم الموحد لاكثر من مره ولا يوجد اي رد وحاولت التواصل معكم عن طريق الرسائل ولا يوجد رد ايضاً وحاولت رفع شكوى ولا يوجد اي تجاوب من قبل الشركة 
 @Uber_KSA
  
 @SaudiTransport",شركة توصيل,سوء تعامل,
"وهذا رقم الشكاوي اللي رفعتها بدون ما الاقي استجابه 
 
 T2105210654601 رقم الشكوى الاولى 
 
 T2105210189601 رقم الشكوى الثانية 
 
 وتم الاتصال بالشركة وماكان في اي تجاوب فقط يعملو جدوله وياخذو العنوان ويتكرر الموضوع مره ثانيه بنفس الاخطاء وضعف الأداء ورداءة الخدمة",شركة شحن,سوء تعامل,
من الظهر اراسلكم محد رد علي شحنتي تطلع مع المندوب ومايتواصل معاي ابد من ? ايام وش الحل؟؟؟,شركة شحن,تأخير,
"فيديو تحويل ايقونة الحذف الى محادثة موظف!
 وصورة من رد التطبيق على الطلب!
 ادور في حلقة!",غير محدد,سوء تعامل,
عندي شحنه من ?? مارس و تم وصولها للرياض بدل مكة و مركز الاتصال لا يوجد تجاوب الى الان و لا اعرف فين الشحنه,شركة شحن,فقدان,
تم فقدان طردي في الطريق من قبل شركة سمسا ولم يتم تقديم أي مساعدة أو تعويض للخسائر الناجمة عن ذلك.,شركة شحن,فقدان,
"نهنــئ #مــوانئ بتحقيــق تلــك الخطــوة الرائــدة، والتــي ستســهم فــي رفــع تصــنيف المملكــة بالمؤشــرات الدوليـة، وتبنّـي القـدرات المسـتدامة، والحلـول التـي تسـهم فـي رفـع مسـتوى عمليـات النقـل والتوزيـع، والتخزين المحلي والإقليمي، والارتقاء بمعايير الخدمات اللوجستية",منصات حكومية لوجستية,اخرى,
ياوزارة التجاره شوفو لنا حل مع شركة الشحن ايمايل الشحنات عندهم تعدت مواعيد التسليم المقرره لها (?? يوم عندهم)بسبب الاهمال والمماطله العيد قرب ولاسلمو الشحنات لنا والطلبيات متكدسه عندهم بالمستوعات,شركة شحن,تأخير,
"عدم سفلتة الطريق بعد الصيانة قبل سنوات، طريق #العقيلة - #الصلصلة مهددًا بضرر المركبات وخطر على المسافرين ،الطريق يسلكه يومياً المسافرين من المعلمين والمعلمات.
 #خيبر #المدينة_المنورة 
 احداثيات الموقع ( قوقل ماب ) 
 https://maps.app.goo.gl/r6oLNFUKoZXUgnTt5?g_st=ic…
 ———
 
 @SaudiTransport
  
 
 @938
  
 
 @SalehAlJasser",منصات حكومية لوجستية,اخرى,
"@invygoksa
  
 @TGA_CARE
  
 انفيجو تلغي عقد تأجير السيارة دون سابق إنذار حاولت التواصل معهم لكن لا يقبلون التواصل هاتفيا ، فما السبب ؟! على الرغم أن المدة لم تنتهي ومدفوع كامل المبلغ ويرفضوا إعادة المبلغ",تأجير,مشاكل مالية,
تم توجيه الشكوى لخدمة العملاء في تطبيق كريم بسبب سوء الخدمة والتأخير الكبير في وصول السائق.,شركة توصيل,تأخير,
"مناديبكم يستهبلون والله 
 
 واقف قدامي ولا يقول انا. جيني ومشى وحط علي ? وامس طالب اقوله تعال ذا المكان وكنسل وحط علي ? وش ذا التطبيق الخايس",شركة توصيل,سوء تعامل,
"حاصل معاي نفس الشي ، رافضين يعطوني البيان الجمركي ، تكلمت مع الجمارك وقالو ان اصلا الشحنة ماهي مسجلة عندهم علما ان الشحنة مسجلين انها عند الجمارك لأكثر من ٢٠ يوم!!!",شركة شحن,فقدان,
مناديبهم من اسوء لاسوء مافي اي جديه في العمل امس اتصل المندوب وتاكد اني بالموقع قال نص ساعه وانا عندك من الساعه سبع المغرب انتظره ماطلعت ولا تحركت ضيع يوم الخميس ع الفاضي ولا اتصل ولا مر وبالاخير يحط العذر العميل غير متاح,شركة شحن,تأخير,
"لم يلتزم سائق أوبر بالمسار المحدد، مما تسبب في تأخري لموعدي العمل وفقدان فرصة مهمة للعمل.",شركة توصيل,تأخير,
"السلام عليكم 
 ممكن تفيدوني بالجهة المختصة لتصعيد شكوى في تطبيق توصيل المطاعم (",شركة توصيل,استفسار,
موقع توثيق حمولة بيان وقف إيش مشكلة,منصات حكومية لوجستية,استفسار,
عندي شحنه مسترجعه من تاريخ 27 فبراير مافيه اي تجاوب منكم بخصوص سرعة ايصالها للمصدر تواصلت معاكم كثير بلا جدوى من يسترجع لي المبلغ وانتم مافيه اي تحديث للشحنه,شركة شحن,تأخير,
"@Uber_Support
  
 @TGA_CARE
  أوبر ترفض صورة الاستمارة ولكنها تقبلها من غير السعوديين",شركة توصيل,مخالفة انظمة,
"هل من الممكن من وزارة التقل ان تضع قوانين صارمة على استهتار الناقل ارامكس؟ قطاع السعودية اسوء قطاع لخدمة العملاء، اين حماية حقوق العميل لا يوجد رد لخدمة العملاء و قيمة الإشتراكات و الشحن مكلفة و ?? شحنة ضائعة 
 @ShopandShip
  
 @Aramex_KSA
  
 @Aramex
  
 @SaudiTransport
  
 @MoTLS19955",شركة شحن,فقدان,
"هذي الشركة تفوز بأسوأ شركة شحن توصيل ورد على المكالمات 
 ولازم تطارد وراهم لتخبرهم ان لك شحنة عندهم ويتفاجأون بانها بستودعاتهم
 اتمنى من وزارة النقل 
 @SaudiTransport
  النظر في وضعهم",شركة شحن,سوء تعامل,
"لم يتم تسليم الطلبية بشكل كامل من قبل تطبيق هنقرستيشن، مما تسبب في إضاعة وقتي ومالي وإحباطي.",شركة توصيل,سوء تعامل,
شحنتي لها ?? ايام معلقه وش الحلللللل,شركة شحن,تأخير,
سلام عليكم طالبه شحنه من موقع ولي ?? يوم انتظر معلقه بالجمارك بالسعوديه ويقولون المشكله من عند الجمارك معنها بس ملابس اتمنى تساعدوني وتحلون المشكله ؟,شركة شحن,تأخير,
"عندي شحنة وصلتني رسالة من الظهر والى الان وانا منتظر المندوب
 مايرد على الاتصال ولا الواتس، واذا رد يسب وقليل ادب",شركة شحن,سوء تعامل,
"@MoTLS19955
  اسجل ويظهر رمز التحقق غير صحيح وهو صح ! كيف الطريقه ؟؟",منصات حكومية لوجستية,استفسار,
ياغالي حبيت اسأل عن ساعات العمل للتريلات فالطرق ايام الاسبوع فالويكند متى؟,مركبات نقل,استفسار,
"@rentmycar9
  
 @bainah_sa
  
 @MoTLS19955
  السلام عليكم الشركة مي كار رفعت علي شكوى للمحكمة وانا ما استاجرت من عندهم أساسًا وبعد ما تواصلت معهم جتني رساله أنها طلب التنفيذ ولكن تبقى التكاليف القضائية على اي اساس انا اتحملها وكل مشكلتهم بالغلط وتوصلت مع الشركة ولا في اي تجاوب",تأجير,مشاكل مالية,
"مرحباً بك، سَعدنا بتواصلك معنا، حرصاً على تكامل الخدمات المقدمة في منظومة النقل والخدمات اللوجستية، سيسعد الزملاء في 
 @Saudi_TGA
  بتلقي بلاغكم حسب الاختصاص، وذلك عبر التواصل مع مركز العناية بالمستفيدين على الرقم 19929 أو عبر حساب 
 @tga_care
  
 نسعد دوماً بخدمتكم.",منصات حكومية لوجستية,اخرى,
اكثر من مره اطلب بولت الاسم يظهر سعودي والسائق يجي مصري وش التلاعب هذا !,شركة توصيل,مخالفة انظمة,
"@Saudi_TGA
  
 
 @spokesman_TGA
  
 
 السادة الهيئة العامة للنقل
 يبدوا اننا بحاجة الى مزيد من الحملات التفتيشية والزيارات الميدانية المستمرة لمطارات المملكة للتأكد من تطبيق النظام وعدم عمل الكدادين.
 
 للاسف لازالوا متواجدين (في الفترات الصباحية تحديدا) وازعاجهم للمسافرين قائم وغير حضاري.",شركة توصيل,مخالفة انظمة,
"هذه مو اول مره هذه ثاني مره تطبيقات التوصيل تحذف طلبات للمناديب 
 
 اول مره 2023 من هنقرستيشن حذف 12 طلب .. وتكلمت واشتكيت وارسلت اثبات على عدد رحلاتي ولا احد سوىّ شي",شركة توصيل,سوء تعامل,
"جولات رقابية مكثفة على شركات البريد ونقل الطرود؛ لضمان كفاءة الخدمات المقدمة خلال موسم رمضان وعيد الفطر المبارك.
 
 #قرب_العيد
 #الهيئة_العامة_للنقل_TGA",شركة شحن,اخرى,
"السلام عليكم 
 @SaudiTransport
  
 
 عندي طلبية منذو الاسبوع الماضي يوم الاربعاء جاهزة في موعد التوصل و شركة التوصيل 
 ( سلس اكسبريس ) @sls_expres لم توصلها الي و كل يوم يتواصل معي مندوب التوصيل و في اخر النهار يخبرني ان الشحنة ليس ضمن نطاق توصيله و سوف يرجعها الى المستودع",شركة شحن,تأخير,
شكراً قدمت شكوى على جاهز,شركة توصيل,اخرى,
شركات ومؤسسات وحافلات نقل الركاب داخل المملكة ودول الخليج في البطحاء والعزيزية بالرياض يبيلها تنظيم وترتيب ورقابه,مركبات نقل,مخالفة انظمة,
"السلام عليكم 
 لدي شحنه رقم 34887003373
 المندوب اتصل علي و انا في الدوام من يومين و مشي و ما سلم الشحنه و للحين ما استلمتها و لا يوجد رقم تواصل و هي شحنه مكملات غذائية و نقلها و تخزينها اكثر من مره يخربها و مكتوب على الموقع ان توصيلها اليوم و ما جاني اتصال و لا توصيل",شركة شحن,تأخير,
"@MoTLS19955
  هل يوجد قائمة لشركات الشحن البري والجوي؟",شركة شحن,استفسار,
"@MyLaBaih
 
 جاتني رسالة الساعة ? العصر بأن الشحنة مع المندوب وارسلت له الموقع وانتظرته الى الساعة ? وسألته متى بتوصلها رد علي الساعة ?? بالليل يقول لي الحين!
 قلت له الحين نايمين وصلها النهار قال لا، قلت له حطها تحت الباب وانتظرته نص ساعة وارسل ولا يرد علي
 
 @SaudiTransport
  
 @Saudi_TGA",شركة شحن,تأخير,
لي شحنه شي ان لها استرجاع من شركة ايمايل,شركة شحن,اخرى,
موقع بيان توثيق الحموله متوقف ! اذا جات مخالفه على مين ؟؟؟ وكيف يتم توصيل البضائع وخي مهمه جدا هل نتوقف الى ان يتم اصلاح خلل الموقع ؟؟؟؟,منصات حكومية لوجستية,استفسار,
"@MoTLS19955
 
 عندي شكوئ علي تطبيق ايجو 
 @Ego_now
 
 معاناه معاهم ماهي اول مرره كل مرره يتعاملون معناا معاملة سيئه انا اتكلم كا شريك معهم كا كابتن
 العميل يدفع بالفيزا المبلغ الي يوصلني مختلف المبلغ المخصوم من العمميل كامل وعندي ما يثبت
 جزاه الله خير العميل عطاني رقمه وقالي تواصل معي",شركة توصيل,مشاكل مالية,
"@BoltDriverSA
  
 @Saudi_TGA
  
 ردو ي بولت تقبلون التفويض ولما اكلمكم تقلون من هيئة النقل",شركة توصيل,استفسار,
شحنت السياره سليمه من الدمام الى جازان ووصلتني بالحاله هذي ( بلف مكسور + الشكمان محكوك بالكامل من تحت + اثار السطحه الخضراء مازالت موجوده ) ومشرف الفرع المصري يقول مالناش علاقه بالمشاكل الميكانيكية.,شركة شحن,سوء تعامل,
"@Aramex_KSA
  ممكن تردون علي للضرورة
 
 
 @snbalahli
  المره الثانية قبل ما ترسلون اي بطاقة اختاروا شركة شحن تشتغل باحترافية",شركة شحن,سوء تعامل,
"السلام عليكم ورحمة الله 
 لدي عدة سيارات نقل خاص شاحنات صغيره وارغب في اصدار بطاقة تشغيل وبعد دخول طلب مني اثبات حاجه وتم تقديم على سياره واحده فقط ولا استطيع التقديم حتى يتم الانتهاء من دراسة الطلب بعد ? ايام وهذا الامر لايعقل لان توقف السياره هو توقف العمل في اي شركة",مركبات نقل,تأخير,
شحنتي للحين ماوصلتني لها اكثر من اسبوع معلقه بسبب فشلكم وتأخيركم الي كل مره طلبت من سمسا ووصلتني ونفس اليوم الي طلبت فيه من عندكم وانتو للحين ولا احد حتى تواصل معي ولا يقول وين الشحنه حقتي ياشركة ايمايل لين متى يعني؟,شركة شحن,تأخير,
"مرحبا .. أود بتقديم شكوى على شركة 
 @Aramex_KSA
  .. طلبت ارسال شحنه وتم سحب المبلغ من التطبيق لكن لم تصدر بوليصه الشحن ولم يتم التواصل معي مع العلم الموضوع أكثر من عشر ايام و راسلتهم عن طريق منصه اكس لكن لا تجاوب يذكر",شركة شحن,تأخير,
"لماذا يتهرب مندوبيكم في محافظة المندق بمنطقة الباحة عن ايصال طلبات الزبائن لمنازلهم ؟!
 طلبي اشتريته من الموقع ودفعت رسوم الشحن واصل للعنوان فيجب أن يوصلوه للعنوان .
 صورة مع التحية ل 
 @SaudiTransport",شركة شحن,سوء تعامل,
"شوفوا فشلكم أول 
 الواتساب ما أحد يرد أبدا
 شحنة (سري للغاية) لا زلت مهملة بين منظومة الإهمال التكاملية لديكم",شركة شحن,سوء تعامل,
